,date,open,volume_usdt,trade_count,volume_asset,asset_coin,base_coin,avg_trade_asset,avg_trade_usdt,delta_value,delta_range
0,2021-01-13,0.0003528,8631.7065028,90.0,24519962.0,BTT,USDT,272444.02222222224,95.90785003111111,-0.00113378684807259,2.9000000000000163e-06
1,2021-01-12,0.0003506,3011955.7184188,20031.0,8455808484.0,BTT,USDT,422136.113224502,150.3647206040038,0.0059897318881916625,3.629999999999996e-05
2,2021-01-11,0.0004295,4024436.4860499,25602.0,11394970204.0,BTT,USDT,445081.2516209671,157.19226959026247,-0.1857974388824214,0.00011740000000000003
3,2021-01-10,0.0004095,7137798.1500896,41729.0,17441136584.0,BTT,USDT,417962.0068537468,171.0512629128328,0.04737484737484747,8.800000000000002e-05
4,2021-01-09,0.0003317,23814396.7433045,105684.0,55614348740.0,BTT,USDT,526232.4357518641,225.33587622823225,0.23454929152848958,0.00020310000000000006
5,2021-01-08,0.0003326,3613192.2427766,23709.0,11064448785.0,BTT,USDT,466677.1599392636,152.39749642653,-0.002705953096813054,2.540000000000002e-05
6,2021-01-07,0.0003242,4477879.4673421,29795.0,13405307984.0,BTT,USDT,449918.0394025843,150.2896280363182,0.025909932140653878,4.25e-05
7,2021-01-06,0.0003101,3802564.3373165,25282.0,11895350366.0,BTT,USDT,470506.6990744403,150.4059938816747,0.04546920348274756,3.200000000000002e-05
8,2021-01-05,0.0003141,2965803.3808158,22221.0,9820243485.0,BTT,USDT,441935.2632644795,133.4684929038207,-0.011779687997452982,2.580000000000003e-05
9,2021-01-04,0.0003128,3611872.8215876,26422.0,11434907198.0,BTT,USDT,432779.7743547044,136.6994482472031,0.0035166240409206283,4.339999999999997e-05
10,2021-01-03,0.0003375,6956793.7450687,35985.0,21628649313.0,BTT,USDT,601046.2501875781,193.32482270581355,-0.07318518518518519,3.200000000000002e-05
11,2021-01-02,0.0002935,8298988.6688606,37086.0,25909372352.0,BTT,USDT,698629.4653508062,223.77686104892953,0.14923339011925055,7.939999999999998e-05
12,2021-01-01,0.0002882,3428179.0290016,11344.0,11772926424.0,BTT,USDT,1037810.8624823695,302.20195953822287,0.0166551006245663,7.300000000000015e-06
13,2020-12-31,0.0002938,3688000.9070623,11601.0,12824193111.0,BTT,USDT,1105438.5924489268,317.9037071857857,-0.019741320626276305,1.8699999999999967e-05
14,2020-12-30,0.0002914,4170482.1039507,13967.0,14484684501.0,BTT,USDT,1037064.8314598697,298.59541089358487,0.007206588881262859,1.3900000000000013e-05
15,2020-12-29,0.0003003,4446553.2412731,17530.0,15344460078.0,BTT,USDT,875325.7317741015,253.6539213504335,-0.030303030303030318,2.2900000000000015e-05
16,2020-12-28,0.0002982,4719070.3490566,19224.0,15589264631.0,BTT,USDT,810927.2071889305,245.47806643032666,0.00704225352112675,1.4800000000000034e-05
17,2020-12-27,0.0003004,4683390.8386487,20307.0,15713650401.0,BTT,USDT,773804.6191461072,230.6293809350815,-0.007989347536617857,2.2400000000000002e-05
18,2020-12-26,0.0003075,4366550.6502989,14926.0,14485594381.0,BTT,USDT,970494.0627763633,292.54660661254854,-0.025365853658536497,1.1800000000000016e-05
19,2020-12-25,0.0003008,4314726.800902,16573.0,14198938187.0,BTT,USDT,856751.2331503048,260.3467568274905,0.021609042553191474,1.4900000000000037e-05
20,2020-12-24,0.000276,4839799.2340007,16935.0,16972179073.0,BTT,USDT,1002195.398464718,285.7867867729967,0.08913043478260871,3.13e-05
21,2020-12-23,0.000319,4807363.7917084,19880.0,15981487675.0,BTT,USDT,803897.7703722334,241.8191042106841,-0.1338557993730408,5.1500000000000005e-05
22,2020-12-22,0.0003199,4305223.1328426,14534.0,13580329334.0,BTT,USDT,934383.4686940965,296.21736155515345,-0.0018755861206627526,1.399999999999996e-05
23,2020-12-21,0.0003364,3049484.0404896,12494.0,9190369440.0,BTT,USDT,735582.6348647351,244.07587966140548,-0.04845422116527948,2.3399999999999972e-05
24,2020-12-20,0.0003399,4414850.108627,14327.0,13055267118.0,BTT,USDT,911235.2284497801,308.1489571178195,-0.009708737864077745,1.5800000000000005e-05
25,2020-12-19,0.000332,3568753.4671702,11154.0,10584309888.0,BTT,USDT,948925.0392684239,319.95279425947643,0.02349397590361454,1.1600000000000011e-05
26,2020-12-18,0.0003275,3904188.9079672,12806.0,11845431543.0,BTT,USDT,924990.7498828674,304.8718497553647,0.013740458015267179,1.2100000000000023e-05
27,2020-12-17,0.0003404,4948288.7726493,16940.0,14781658165.0,BTT,USDT,872589.029811098,292.106775244941,-0.038190364277320775,1.600000000000001e-05
28,2020-12-16,0.0003239,3795035.2448052,13224.0,11535472288.0,BTT,USDT,872313.3914095584,286.98088663076226,0.0509416486569928,1.9999999999999998e-05
29,2020-12-15,0.0003342,3177271.2290413,9768.0,9686884108.0,BTT,USDT,991695.7522522523,325.2734673465704,-0.031119090365050815,1.2500000000000033e-05
30,2020-12-14,0.0003199,4038607.6210358,14533.0,12329295553.0,BTT,USDT,848365.4822128948,277.892219158866,0.044388871522350624,2.599999999999998e-05
31,2020-12-13,0.000316,2736214.9510524,9564.0,8552525557.0,BTT,USDT,894241.4844207445,286.0952479143036,0.012658227848101403,8.9e-06
32,2020-12-12,0.0003054,3040180.3823515,10099.0,9704127668.0,BTT,USDT,960899.8582037826,301.0377643679077,0.03470857891290107,1.4900000000000037e-05
33,2020-12-11,0.0003136,3174889.2241569,11509.0,10320299220.0,BTT,USDT,896715.5460943609,275.8614322840299,-0.025829081632653,1.0999999999999996e-05
34,2020-12-10,0.0003266,3056595.0219177,9911.0,9674187904.0,BTT,USDT,976106.1350015135,308.40430046591666,-0.04133496631965708,1.56e-05
35,2020-12-09,0.0003212,3529957.4992333,13414.0,11039249427.0,BTT,USDT,822964.7701654987,263.1547263480915,0.014632627646326295,2.1100000000000025e-05
36,2020-12-08,0.0003323,3243191.4188184,11731.0,9877047512.0,BTT,USDT,841961.2575228028,276.4633380631148,-0.033403551008125185,2.0400000000000008e-05
37,2020-12-07,0.0003454,2898432.5851252,9545.0,8555455013.0,BTT,USDT,896328.4455735987,303.6597784311367,-0.03792704111175447,1.5299999999999992e-05
38,2020-12-06,0.0003432,2884350.0250678,15185.0,8399691844.0,BTT,USDT,553157.1843266381,189.94731808151465,0.005244755244755215,1.5099999999999988e-05
